n,distancia,Raf,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
275,10,1380,8.2233355,13.807053,19.282623,4.6580696,0.26552091,0.24129763
276,10,1385,8.2199638,13.807623,19.262167,4.6413632,0.26552127,0.24129794
277,10,1390,8.2167051,13.808189,19.241833,4.6247761,0.26552162,0.24129826
278,10,1395,8.2135577,13.808752,19.221621,4.608307,0.26552198,0.24129857
279,10,1400,8.2105202,13.809312,19.201528,4.5919547,0.26552233,0.24129888
280,10,1405,8.2075911,13.809869,19.181555,4.575718,0.26552268,0.24129919
281,10,1410,8.2047689,13.810422,19.1617,4.5595957,0.26552303,0.24129949
282,10,1415,8.2020523,13.810972,19.141962,4.5435865,0.26552337,0.24129979
283,10,1420,8.1994397,13.811519,19.12234,4.5276892,0.26552372,0.24130009
284,10,1425,8.1969297,13.812063,19.102833,4.5119028,0.26552406,0.24130039
285,10,1430,8.194521,13.812604,19.083441,4.4962259,0.2655244,0.24130069
286,10,1435,8.1922121,13.813141,19.064162,4.4806576,0.26552473,0.24130098
287,10,1440,8.1900018,13.813675,19.044995,4.4651967,0.26552506,0.24130128
288,10,1445,8.1878887,13.814207,19.02594,4.449842,0.2655254,0.24130157
289,10,1450,8.1858713,13.814735,19.006996,4.4345926,0.26552572,0.24130185
290,10,1455,8.1839486,13.81526,18.988161,4.4194472,0.26552605,0.24130214
291,10,1460,8.182119,13.815783,18.969435,4.4044049,0.26552638,0.24130242
292,10,1465,8.1803814,13.816302,18.950817,4.3894646,0.2655267,0.24130271
293,10,1470,8.1787345,13.816818,18.932306,4.3746252,0.26552702,0.24130299
294,10,1475,8.177177,13.817332,18.913901,4.3598859,0.26552734,0.24130327
295,10,1480,8.1757077,13.817842,18.895602,4.3452454,0.26552765,0.24130354
296,10,1485,8.1743254,13.81835,18.877407,4.3307029,0.26552797,0.24130382
297,10,1490,8.1730289,13.818855,18.859316,4.3162574,0.26552828,0.24130409
298,10,1495,8.1718169,13.819357,18.841327,4.3019079,0.26552859,0.24130436
299,10,1500,8.1706884,13.819856,18.823441,4.2876535,0.2655289,0.24130463
300,10,1505,8.1696422,13.820352,18.805656,4.2734932,0.2655292,0.2413049
301,10,1510,8.168677,13.820846,18.787971,4.259426,0.26552951,0.24130516
302,10,1515,8.1677919,13.821337,18.770386,4.2454512,0.26552981,0.24130543
303,10,1520,8.1669855,13.821825,18.752899,4.2315677,0.26553011,0.24130569
304,10,1525,8.166257,13.822311,18.735511,4.2177747,0.26553041,0.24130595
305,10,1530,8.1656051,13.822794,18.71822,4.2040713,0.2655307,0.24130621
306,10,1535,8.1650288,13.823274,18.701025,4.1904566,0.265531,0.24130647
307,10,1540,8.164527,13.823752,18.683926,4.1769299,0.26553129,0.24130672
308,10,1545,8.1640987,13.824227,18.666922,4.1634901,0.26553158,0.24130697
309,10,1550,8.1637429,13.824699,18.650013,4.1501365,0.26553187,0.24130723
310,10,1555,8.1634584,13.825169,18.633197,4.1368683,0.26553216,0.24130748
311,10,1560,8.1632444,13.825636,18.616473,4.1236846,0.26553244,0.24130773
